genus,Species,decimalLongitude,decimalLatitude,country,continent,ecoregion,realm
Afrius,Afrius flavirostrum,48.45,-13.66,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,49.19,-12.45,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,46.45,-15.72,Madagascar,Africa,Madagascar dry deciduous forests,Afrotropic
Afrius,Afrius flavirostrum,49.3,-12.32,Madagascar,Africa,Madagascar dry deciduous forests,Afrotropic
Afrius,Afrius flavirostrum,49.3,-17.38,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius flavirostrum,49.84,-16.44,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius flavirostrum,49.36,-18.23,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius flavirostrum,48.53,-13.88,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,44.29,-20.29,Madagascar,Africa,Madagascar succulent woodlands,Afrotropic
Afrius,Afrius flavirostrum,49.15,-12.58,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,48.6036,-12.8994,Madagascar,Africa,Madagascar dry deciduous forests,Afrotropic
Afrius,Afrius flavirostrum,48.43,-18.93,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius flavirostrum,44.67,-22.78,Madagascar,Africa,Madagascar succulent woodlands,Afrotropic
Afrius,Afrius flavirostrum,50,-13.37,Madagascar,Africa,Madagascar subhumid forests,Afrotropic
Afrius,Afrius flavirostrum,57.49,-20.23,Mauritius,Africa,Mascarene forests,Afrotropic
Afrius,Afrius flavirostrum,57.47,-20.24,Mauritius,Africa,Mascarene forests,Afrotropic
Afrius,Afrius flavirostrum,46.3207,-9.4693,Seychelles,Africa,Aldabra Island xeric scrub,Afrotropic
Afrius,Afrius flavirostrum,48.41,-18.93,Madagascar,Africa,Madagascar humid forests,Afrotropic
Afrius,Afrius kolleri,27.49,-11.68,Democratic Republic of the Congo,Africa,Central Zambezian wet miombo woodlands,Afrotropic
Afrius,Afrius kolleri,21.25,-4.96,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
Afrius,Afrius kolleri,29.26,1.87,Democratic Republic of the Congo,Africa,Northeast Congolian lowland forests,Afrotropic
Afrius,Afrius kolleri,28.56,-5.81,Democratic Republic of the Congo,Africa,Central Zambezian wet miombo woodlands,Afrotropic
Afrius,Afrius kolleri,22.17,-4.37,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
Afrius,Afrius kolleri,22.43,-7.96,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
Afrius,Afrius kolleri,27.2,-8.92,Democratic Republic of the Congo,Africa,Central Zambezian wet miombo woodlands,Afrotropic
Afrius,Afrius kolleri,16.59,-5.74,Democratic Republic of the Congo,Africa,Southern Congolian forest-savanna,Afrotropic
