Genus	Subgenus	Species	Author 	Local_Label	Y_Latitude	X_Longitude	Refs	Observations
Afrius	Afrius	kolleri	Schouteden, 1911	DEMOCRATIC REPUBLIC OF THE CONGO: Elizabethville (Lubumbashi) 	-11.6800	27.4900	Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	DEMOCRATIC REPUBLIC OF THE CONGO: Galikoko 	-4.9600	21.2500	Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	DEMOCRATIC REPUBLIC OF THE CONGO: Ituri 	1.8700	29.2600	Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	DEMOCRATIC REPUBLIC OF THE CONGO: Kabwekanono 	-5.8100	28.5600	Schouteden 1972; Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	DEMOCRATIC REPUBLIC OF THE CONGO: Lukombe 	-4.3700	22.1700	Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	DEMOCRATIC REPUBLIC OF THE CONGO: Lulua, Kananga 	-7.9600	22.4300	Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	DEMOCRATIC REPUBLIC OF THE CONGO: Lusinga 	-8.9200	27.2000	Schouteden 1972; Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	DEMOCRATIC REPUBLIC OF THE CONGO: Lusinga 	-8.9200	27.2000	Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	DEMOCRATIC REPUBLIC OF THE CONGO: Ngowa	-5.7400	16.5900	Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	UGANDA:: Mpumu 	0.3500	32.8300	Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	UGANDA:: Bukalasa 	0.7000	32.5100	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019	
Afrius	Afrius	kolleri	Schouteden, 1911	ANGOLA: Zaire	-6.5800	13.5100	Thomas 1994	
Afrius	Afrius	kolleri	Schouteden, 1911	KENYA	1.0000	38.0000	Thomas 1994	
Afrius	Afrius	kolleri	Schouteden, 1911	ETHIOPIA	9.0000	39.5000	Thomas 1994	
Afrius	Afrius	purpureus	Westwood, 1837	BENIN: Bassila	9.0000	1.6600	Villiers 1952; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	BENIN: Ouidah 	6.4500	2.0800	Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	BENIN: Tchaourou	8.8800	2.5900	Linnavuori 1982, 1989; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAMEROON: Baïgom 	5.5700	10.6800	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAMEROON: Dschang 	5.4400	10.0500	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAPE VERDE: Maio 	15.2100	-23.1600	Arechavaleta et al. 2005; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAPE VERDE: Maio: Monte Penoso 	15.2200	-23.1300	Lindberg 1958; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAPE VERDE: Maio: Porto Ingles 	15.1450	-23.2121	Lindberg 1958; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAPE VERDE: Maio: Porto Ingles 	15.1450	-23.2121	Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAPE VERDE: Santiago 	15.0800	-23.6200	Lindberg 1958; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAPE VERDE: Santo Antão: Porto Novo 	17.0600	-25.0600	Lindberg 1958; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAPE VERDE: São Nicolau: Ribeira Brava 	16.6100	-24.2900	Lindberg 1958; Roell et al. 2019	
Afrius	Afrius	purpureus	Westwood, 1837	CAPE VERDE: São Vicente: Monte Verde 	16.8700	-24.9300	Lindberg 1958; Roell et al. 2019	
